#   Step          Temp          Press          PotEng         KinEng         TotEng         E_pair    
    145000   1.0061264      1.0635878      15.951113      1.5090387      17.460151     -4.6470388    
    146000   1.0093571      0.97885607     15.94673       1.5138843      17.460615     -4.6551288    
    147000   1.0103836      1.2263414      15.93944       1.5154239      17.454864     -4.6495899    
    148000   1.0009027      1.0662628      15.948842      1.501204       17.450046     -4.646744     
    149000   0.99917719     1.1222778      15.944645      1.4986159      17.443261     -4.6365947    
    150000   1.0130408      1.0601742      15.921349      1.5194092      17.440758     -4.6636861    
    151000   1.0056773      0.83620664     15.924828      1.508365       17.433193     -4.6591575    
    152000   0.99973013     0.81275232     15.930033      1.4994452      17.429478     -4.6622742    
    153000   0.99884856     0.98191664     15.930339      1.498123       17.428462     -4.6629782    
    154000   0.99196109     1.0419765      15.934387      1.4877928      17.42218      -4.6633556    
    155000   1.0126339      0.95321098     15.901696      1.518799       17.420495     -4.68653      
    156000   1.0028968      1.2173948      15.91429       1.5041947      17.418485     -4.6808485    
    157000   0.97878426     1.0404788      15.93945       1.4680296      17.40748      -4.6541124    
    158000   0.99646572     1.0086348      15.910237      1.4945491      17.404787     -4.6747873    
    159000   1.0005983      0.98849157     15.903937      1.5007473      17.404684     -4.6813837    
    160000   0.98790733     1.1931913      15.918403      1.4817128      17.400115     -4.6658344    
    161000   0.98953337     1.0084945      15.91321       1.4841516      17.397361     -4.6699841    
    162000   0.9954378      0.94679001     15.902521      1.4930074      17.395529     -4.6827564    
    163000   0.99420339     1.0457412      15.901682      1.491156       17.392838     -4.6908811    
    164000   0.98405511     1.0461828      15.912469      1.4759351      17.388404     -4.6752411    
    165000   0.98459429     0.92774594     15.906808      1.4767437      17.383551     -4.6755391    
    166000   0.97958965     0.95630576     15.911101      1.4692375      17.380338     -4.6676109    
    167000   0.98859029     0.83874818     15.898163      1.4827371      17.380901     -4.6775693    
    168000   0.97694706     0.9680977      15.912887      1.4652741      17.378161     -4.6711748    
    169000   0.98839963     0.84269538     15.895095      1.4824512      17.377546     -4.6766203    
    170000   0.97891044     0.95298716     15.909755      1.4682188      17.377973     -4.6718597    
    171000   0.98309547     1.0785365      15.905934      1.4744957      17.38043      -4.6854578    
    172000   0.97909783     1.1400486      15.912458      1.4684999      17.380958     -4.6837063    
    173000   0.98701591     0.94183201     15.89771       1.4803758      17.378086     -4.6838121    
    174000   0.98913772     0.933649       15.894692      1.4835582      17.378251     -4.6816873    
    175000   0.99231777     1.0788882      15.894997      1.4883278      17.383325     -4.6805708    
    176000   0.98545999     0.93086744     15.904908      1.4780422      17.382951     -4.6812199    
    177000   0.98406365     0.95878849     15.907688      1.4759479      17.383635     -4.6644882    
    178000   0.98802775     1.006093       15.905138      1.4818934      17.387032     -4.6804203    
    179000   0.98133345     1.0324844      15.918637      1.471853       17.39049      -4.6713805    
    180000   0.9875516      0.97119081     15.911007      1.4811793      17.392187     -4.672451     
    181000   0.99488896     0.93906756     15.90313       1.4921842      17.395314     -4.6800821    
    182000   0.98109768     1.1690214      15.927265      1.4714994      17.398764     -4.6594846    
    183000   1.0037096      0.74699789     15.899122      1.5054138      17.404536     -4.689727     
    184000   0.9969268      1.1038061      15.914385      1.4952407      17.409626     -4.6782463    
    185000   0.99438802     1.210139       15.922172      1.4914329      17.413604     -4.6821135    
    186000   0.99444958     1.0611985      15.925651      1.4915252      17.417176     -4.6721961    
    187000   0.98838907     1.0066114      15.93657       1.4824353      17.419006     -4.6524419    
    188000   0.99377027     0.95345325     15.933874      1.4905063      17.424381     -4.6505491    
    189000   1.0014024      1.1717861      15.928017      1.5019534      17.42997      -4.6616262    
    190000   0.99659064     0.77692702     15.937769      1.4947365      17.432505     -4.6478904    
    191000   1.0053873      1.0194779      15.929448      1.5079302      17.437378     -4.6595055    
    192000   1.0024632      0.8489035      15.938142      1.5035445      17.441686     -4.6560664    
    193000   0.99758066     0.98739848     15.9487        1.4962213      17.444921     -4.6565466    
    194000   1.0021318      0.89846101     15.943979      1.5030473      17.447026     -4.6528033    
    195000   1.0216655      1.030622       15.921741      1.5323451      17.454086     -4.6721574    
    196000   1.0036608      1.0651759      15.951733      1.5053406      17.457074     -4.6531108    
    197000   1.0149819      1.0235158      15.939882      1.5223205      17.462203     -4.6565005    
    198000   1.0174327      0.9539448      15.936764      1.5259965      17.46276      -4.652271     
    199000   1.0070332      0.99231263     15.953757      1.5103987      17.464156     -4.6470908    
    200000   1.0152468      1.0106556      15.945259      1.522718       17.467977     -4.6511123    
    201000   1.0202335      0.95240336     15.94023       1.5301972      17.470427     -4.6573655    
    202000   1.002725       1.0967401      15.968071      1.503937       17.472008     -4.6463295    
    203000   1.0048069      0.75148356     15.96053       1.5070596      17.46759      -4.6404806    
    204000   1.0049906      1.0252454      15.963763      1.5073352      17.471099     -4.6282242    
    205000   1.0148518      0.90565445     15.950937      1.5221255      17.473062     -4.6347478    
    206000   1.0139586      1.0590942      15.951433      1.5207858      17.472219     -4.6462967    
    207000   1.0054914      1.1588641      15.963511      1.5080863      17.471597     -4.6394805    
    208000   1.0192507      0.86235223     15.941792      1.5287232      17.470515     -4.6536888    
