#   Step          Temp          Press          PotEng         KinEng         TotEng         E_pair    
    130000   1.0078097      0.0093902722   16.90511       1.5115634      18.416673     -3.7045153    
    131000   1.0128079     -0.0024824002   16.896909      1.51906        18.415969     -3.6973456    
    132000   1.0059464     -0.014164424    16.906414      1.5087687      18.415182     -3.6916208    
    133000   1.0105967     -0.0053698078   16.898524      1.5157435      18.414268     -3.7126386    
    134000   1.0054005      0.01281436     16.905158      1.50795        18.413108     -3.6980447    
    135000   1.0084615      0.018960563    16.899218      1.512541       18.411759     -3.7082716    
    136000   1.003149       0.0039421797   16.90553       1.504573       18.410103     -3.7009041    
    137000   1.0070967     -0.0085101413   16.897811      1.510494       18.408305     -3.705719     
    138000   1.0034044      0.0055346134   16.90139       1.5049561      18.406346     -3.7070385    
    139000   1.01406        0.0059311963   16.883222      1.5209378      18.40416      -3.7226168    
    140000   1.0096517     -0.010282547    16.887365      1.5143261      18.401691     -3.7402934    
    141000   0.99968206    -0.0071200187   16.899602      1.4993731      18.398975     -3.7012502    
    142000   0.99411148    -0.0092883552   16.905307      1.4910181      18.396325     -3.6938883    
    143000   1.0075236      0.01285868     16.882651      1.5111342      18.393785     -3.7210977    
    144000   1.0094092     -0.002450013    16.87719       1.5139624      18.391152     -3.7213919    
    145000   0.99236915    -0.0060752361   16.900008      1.4884049      18.388413     -3.7108147    
    146000   1.0106687      0.002917369    16.869747      1.5158514      18.385599     -3.7371767    
    147000   1.0136319      0.015277877    16.862295      1.5202959      18.382591     -3.743847     
    148000   1.0113097     -0.010072934    16.862488      1.5168129      18.379301     -3.7336054    
    149000   0.99882008     0.016482589    16.877891      1.4980803      18.375971     -3.727994     
    150000   1.0050439     -0.0060230192   16.865079      1.5074151      18.372494     -3.7457983    
    151000   1.0074055     -0.011150757    16.857948      1.5109571      18.368905     -3.7386834    
    152000   0.99472215     0.0038840189   16.873369      1.491934       18.365303     -3.7358685    
    153000   1.008999      -0.008278633    16.84831       1.5133471      18.361657     -3.7550535    
    154000   1.0125282      0.019550844    16.839282      1.5186404      18.357922     -3.7536086    
    155000   1.0083506     -0.0014008012   16.841799      1.5123746      18.354174     -3.7669391    
    156000   1.0017766     -0.0036371437   16.847888      1.5025146      18.350403     -3.7627878    
    157000   1.0052793      0.015876679    16.838795      1.5077681      18.346563     -3.7611054    
    158000   0.99191979    -0.0010587169   16.855014      1.4877309      18.342745     -3.7470598    
    159000   1.0075478     -0.0085777796   16.827983      1.5111705      18.339153     -3.7686021    
    160000   1.0030361     -1.4886456e-06  16.831194      1.5044037      18.335598     -3.7651715    
    161000   1.000975       0.0093408886   16.830707      1.5013124      18.332019     -3.7731379    
    162000   0.9982892     -0.0057426974   16.831173      1.4972841      18.328457     -3.7776032    
    163000   0.99517579     0.0078718586   16.832309      1.4926144      18.324923     -3.7706162    
    164000   0.99380226     0.019781029    16.83099       1.4905543      18.321544     -3.7742763    
    165000   0.99405636     0.0077797297   16.827342      1.4909354      18.318277     -3.7810301    
    166000   0.99982265    -0.00093155304  16.815512      1.499584       18.315096     -3.7844002    
    167000   0.99042937    -0.0021912129   16.826548      1.4854955      18.312043     -3.7846083    
    168000   1.0023434     -0.0036493028   16.805755      1.5033647      18.30912      -3.7909031    
    169000   1.0009903      0.0012496152   16.804859      1.5013353      18.306194     -3.7874727    
    170000   0.99454875     0.0048260817   16.811649      1.4916739      18.303323     -3.8004722    
    171000   0.99986667     0.0015220532   16.80088       1.49965        18.30053      -3.7965454    
    172000   0.99797115    -0.0068916439   16.801094      1.496807       18.297901     -3.8001607    
    173000   0.99550215     0.0014908263   16.802281      1.4931039      18.295385     -3.8026343    
    174000   1.0017926     -0.0051364534   16.790243      1.5025387      18.292782     -3.8070357    
    175000   0.99443264    -0.0082600576   16.79873       1.4914998      18.290229     -3.8030573    
    176000   1.0042965     -0.010569008    16.781668      1.5062941      18.287962     -3.8226666    
    177000   1.0151151      0.00096915975  16.763328      1.5225204      18.285848     -3.8350494    
    178000   0.99238152     0.01163967     16.795199      1.4884234      18.283622     -3.8265612    
    179000   0.99318166     0.0034715305   16.791721      1.4896235      18.281345     -3.807859     
    180000   0.99623127    -0.0078627532   16.785061      1.4941975      18.279259     -3.819246     
    181000   1.0056814     -0.0075343935   16.768884      1.5083713      18.277255     -3.8298417    
    182000   1.0046885      0.0035740146   16.768352      1.5068821      18.275234     -3.8382783    
    183000   0.98832466    -0.0020953875   16.790812      1.4823387      18.273151     -3.8243073    
    184000   0.99757256     0.0026630241   16.774884      1.4962092      18.271093     -3.8346373    
    185000   1.0040787     -0.0018347113   16.763096      1.5059675      18.269063     -3.8366912    
    186000   1.0017097     -0.013871735    16.764646      1.5024142      18.26706      -3.8257372    
    187000   0.99279644    -0.0053426035   16.776043      1.4890457      18.265089     -3.8348463    
    188000   1.001113       0.0087324409   16.761612      1.5015193      18.263131     -3.8446643    
    189000   0.99024938    -0.009663052    16.775918      1.4852255      18.261144     -3.8270285    
    190000   1.0048563     -0.0042807426   16.752125      1.5071338      18.259259     -3.8428247    
    191000   0.99797901     0.018189761    16.760579      1.4968188      18.257398     -3.8337686    
    192000   0.98973096    -0.011891183    16.771179      1.484448       18.255627     -3.8366124    
    193000   0.99221878    -0.010298788    16.765895      1.4881793      18.254075     -3.8379733    
    194000   0.99170849     0.015430841    16.765283      1.487414       18.252697     -3.8498944    
    195000   0.99736603     0.00046410108  16.755439      1.4958994      18.251339     -3.8623163    
    196000   0.9955668      0.004454453    16.756802      1.4932009      18.250003     -3.8460038    
    197000   0.99704215     0.00065922727  16.753402      1.4954137      18.248816     -3.8464592    
    198000   0.99611104     0.0021950919   16.753735      1.4940172      18.247753     -3.8379846    
    199000   0.9931775      0.0083550372   16.757187      1.4896173      18.246804     -3.8518818    
    200000   0.99542335    -0.023651706    16.7529        1.4929857      18.245886     -3.8530775    
    201000   0.99299571    -0.004261428    16.755681      1.4893446      18.245025     -3.8565159    
    202000   1.0049693     -0.0085281589   16.736936      1.5073033      18.244239     -3.8666543    
    203000   0.99341406    -0.011933508    16.753481      1.4899721      18.243453     -3.8560466    
    204000   1.0119264     -0.007136779    16.72502       1.5177379      18.242758     -3.8738346    
    205000   0.99606634    -0.0039803223   16.748162      1.4939501      18.242112     -3.8663212    
    206000   0.99644954    -0.0057253139   16.746971      1.4945248      18.241495     -3.855354     
    207000   1.0015997     -0.01122945     16.738693      1.5022493      18.240942     -3.861457     
    208000   1.0019819      0.00041455937  16.737588      1.5028226      18.240411     -3.8716389    
    209000   0.99454687    -0.020291651    16.74817       1.4916711      18.239841     -3.8704791    
    210000   1.0045543     -0.0095061839   16.732686      1.5066808      18.239367     -3.8650983    
    211000   1.0082003     -0.00087393513  16.726816      1.5121492      18.238966     -3.8782047    
    212000   0.99779207    -0.0021816199   16.741972      1.4965384      18.23851      -3.856466     
    213000   0.98790268    -0.0014273426   16.756403      1.4817058      18.238109     -3.8592395    
    214000   0.99633472     0.010652896    16.743474      1.4943526      18.237827     -3.868889     
    215000   0.99761024     0.00084396058  16.741294      1.4962657      18.237559     -3.8661664    
    216000   0.99448779    -0.0090770017   16.745807      1.4915825      18.23739      -3.8514442    
    217000   0.99109813    -0.015146397    16.750889      1.4864985      18.237388     -3.8568116    
    218000   0.99460783     0.026260816    16.745802      1.4917626      18.237564     -3.8651576    
    219000   0.9937601      0.011102198    16.747256      1.4904911      18.237747     -3.860901     
    220000   0.99011581    -0.018506       16.753026      1.4850252      18.238052     -3.8605325    
    221000   0.9956819      0.01234056     16.745144      1.4933735      18.238517     -3.8647845    
    222000   0.99139677     0.0049957254   16.752145      1.4869464      18.239092     -3.8468365    
