#Step TotalEnergy Pressure AcceptanceRatio Temperature LongRangeCorrection Density
1430000 -3117.13 2.28074 0.435909 0.85 -139.599 0.900232
1440000 -3154.58 1.8758 0.43588 0.85 -139.599 0.900232
1450000 -3100.4 2.40141 0.435871 0.85 -139.599 0.900232
1460000 -3145.21 1.97279 0.435849 0.85 -139.599 0.900232
1470000 -3095.93 2.41533 0.43583 0.85 -139.599 0.900232
1480000 -3123.96 2.15997 0.435834 0.85 -139.599 0.900232
1490000 -3113.3 2.29997 0.435827 0.85 -139.599 0.900232
1500000 -3088.43 2.43953 0.43582 0.85 -139.599 0.900232
1510000 -3137.48 2.00337 0.435809 0.85 -139.599 0.900232
1520000 -3136.6 2.08511 0.435821 0.85 -139.599 0.900232
1530000 -3121.33 2.21208 0.435904 0.85 -139.599 0.900232
1540000 -3111.58 2.28791 0.435893 0.85 -139.599 0.900232
1550000 -3139.79 1.9437 0.435835 0.85 -139.599 0.900232
1560000 -3097.88 2.41185 0.435847 0.85 -139.599 0.900232
1570000 -3117.74 2.27956 0.435903 0.85 -139.599 0.900232
1580000 -3090.76 2.57912 0.435921 0.85 -139.599 0.900232
1590000 -3146.54 1.97211 0.435929 0.85 -139.599 0.900232
1600000 -3140.04 2.01125 0.435943 0.85 -139.599 0.900232
1610000 -3132.85 2.11674 0.43593 0.85 -139.599 0.900232
1620000 -3092.69 2.52046 0.435931 0.85 -139.599 0.900232
1630000 -3146.49 2.01192 0.435909 0.85 -139.599 0.900232
1640000 -3149 1.97537 0.435927 0.85 -139.599 0.900232
1650000 -3115.45 2.29063 0.435912 0.85 -139.599 0.900232
1660000 -3099.87 2.49129 0.435893 0.85 -139.599 0.900232
1670000 -3131.71 2.11026 0.435948 0.85 -139.599 0.900232
1680000 -3125.45 2.24875 0.435944 0.85 -139.599 0.900232
1690000 -3102.61 2.43208 0.435935 0.85 -139.599 0.900232
1700000 -3135.14 2.10785 0.435912 0.85 -139.599 0.900232
1710000 -3079.03 2.76841 0.435914 0.85 -139.599 0.900232
1720000 -3074.26 2.76771 0.435842 0.85 -139.599 0.900232
1730000 -3105.89 2.40073 0.435803 0.85 -139.599 0.900232
1740000 -3080.76 2.67669 0.435799 0.85 -139.599 0.900232
1750000 -3084.87 2.609 0.435795 0.85 -139.599 0.900232
1760000 -3078.74 2.66724 0.435771 0.85 -139.599 0.900232
1770000 -3109.79 2.32389 0.435815 0.85 -139.599 0.900232
1780000 -3104.06 2.35785 0.435815 0.85 -139.599 0.900232
1790000 -3081.96 2.60017 0.435812 0.85 -139.599 0.900232
1800000 -3150.33 1.87451 0.43579 0.85 -139.599 0.900232
1810000 -3141.68 2.06389 0.435766 0.85 -139.599 0.900232
1820000 -3103.25 2.3581 0.435754 0.85 -139.599 0.900232
1830000 -3074.47 2.71066 0.435797 0.85 -139.599 0.900232
1840000 -3092.74 2.5185 0.435791 0.85 -139.599 0.900232
1850000 -3078.8 2.71795 0.435792 0.85 -139.599 0.900232
1860000 -3113.11 2.28595 0.435747 0.85 -139.599 0.900232
1870000 -3116.74 2.25075 0.435741 0.85 -139.599 0.900232
1880000 -3089.1 2.56223 0.435758 0.85 -139.599 0.900232
1890000 -3122.03 2.23659 0.435762 0.85 -139.599 0.900232
1900000 -3079.68 2.72344 0.43576 0.85 -139.599 0.900232
1910000 -3127.77 2.23495 0.435756 0.85 -139.599 0.900232
1920000 -3127.24 2.24778 0.435744 0.85 -139.599 0.900232
1930000 -3112.81 2.3305 0.435797 0.85 -139.599 0.900232
1940000 -3150.75 1.89324 0.435798 0.85 -139.599 0.900232
1950000 -3134.37 2.09277 0.435794 0.85 -139.599 0.900232
1960000 -3160.48 1.83742 0.435808 0.85 -139.599 0.900232
1970000 -3131.57 2.16493 0.435876 0.85 -139.599 0.900232
1980000 -3114.56 2.28363 0.4359 0.85 -139.599 0.900232
1990000 -3149.08 1.9692 0.43595 0.85 -139.599 0.900232
2000000 -3130.96 2.12341 0.435908 0.85 -139.599 0.900232
2010000 -3144.06 1.99918 0.435908 0.85 -139.599 0.900232
2020000 -3118.26 2.1608 0.435942 0.85 -139.599 0.900232
2030000 -3124.68 2.11806 0.435909 0.85 -139.599 0.900232
2040000 -3126.88 2.11907 0.435912 0.85 -139.599 0.900232
2050000 -3129.5 2.13703 0.435881 0.85 -139.599 0.900232
2060000 -3142.88 2.03499 0.435894 0.85 -139.599 0.900232
2070000 -3118.88 2.23996 0.435901 0.85 -139.599 0.900232
2080000 -3105.18 2.34617 0.435888 0.85 -139.599 0.900232
2090000 -3129.92 2.09581 0.435906 0.85 -139.599 0.900232
2100000 -3126.52 2.0864 0.435953 0.85 -139.599 0.900232
2110000 -3113.48 2.33503 0.435965 0.85 -139.599 0.900232
2120000 -3108.32 2.32397 0.435982 0.85 -139.599 0.900232
2130000 -3130.3 2.1461 0.435984 0.85 -139.599 0.900232
2140000 -3112.33 2.32839 0.436015 0.85 -139.599 0.900232
2150000 -3108.32 2.42178 0.436004 0.85 -139.599 0.900232
